RIC,Date,BID,ASK,ACCRUAL,MID_YIELD,CONVEXITY,MOD_DURATION,BPV,ZSPREAD,OIS_SPREAD
DEBU2F00=,2026-01-29,92.717,92.785,1.8734,3.2068,178.0282,12.054,11.406,11.9368,32.9182
DEBU2F00=,2026-01-30,92.525,92.593,1.8805,3.2238,177.8366,12.0458,11.376,12.7189,33.807
DEBU2F00=,2026-02-02,92.313,92.406,1.8877,3.2414,177.6399,12.0374,11.345,13.1709,33.7644
DEBU2F00=,2026-02-03,92.079,92.134,1.8948,3.2639,177.4081,12.0274,11.306,12.9109,33.6638
DEBU2F00=,2026-02-04,92.334,92.382,1.9019,3.2418,177.5046,12.032,11.341,12.9806,33.7345
DEBU2F00=,2026-02-05,92.54,92.605,1.9233,3.2232,177.4423,12.0301,11.368,13.0113,33.7813
DEBU2F00=,2026-02-06,92.446,92.515,1.9304,3.2314,177.3156,12.0248,11.353,13.2979,33.8941
DEBU2F00=,2026-02-09,92.456,92.524,1.9375,3.2306,177.2546,12.0224,11.352,13.8072,34.4543
DEBU2F00=,2026-02-10,92.903,92.974,1.9447,3.1913,177.4773,12.0326,11.417,13.6083,33.6936
DEBU2F00=,2026-02-11,93.028,93.121,1.9518,3.1795,177.4977,12.0338,11.435,13.6832,33.5237
DEBU2F00=,2026-02-12,93.286,93.361,1.9732,3.158,177.4561,12.0328,11.467,13.41,33.5308
DEBU2F00=,2026-02-13,93.494,93.566,1.9803,3.1401,177.5211,12.036,11.496,14.3297,34.1083
DEBU2F00=,2026-02-16,93.46,93.533,1.9874,3.1431,177.4326,12.0324,11.489,14.9679,34.3119
DEBU2F00=,2026-02-17,93.664,93.732,1.9945,3.1257,177.4941,12.0354,11.517,14.7703,33.7022
DEBU2F00=,2026-02-18,93.657,93.73,2.0016,3.1262,177.4241,12.0326,11.515,14.2127,33.8415
DEBU2F00=,2026-02-19,93.674,93.742,2.023,3.1252,177.2321,12.025,11.512,13.6212,33.1752
DEBU2F00=,2026-02-20,93.787,93.851,2.0301,3.1156,177.2357,12.0254,11.526,13.1578,32.654
DEBU2F00=,2026-02-23,94.02,94.083,2.0373,3.0955,177.3162,12.0293,11.559,12.853,32.4878
